Season,Team,Matches,Wins,Loses,Draws,Points,GF,GA
2015-16,Borussia Dortmund,17,14,0,3,45,49,14
2015-16,FC Bayern München,17,15,1,1,46,51,8
2015-16,Borussia M'gladbach,17,13,3,1,40,42,18
2015-16,Hertha BSC,17,9,3,5,32,24,15
2015-16,Bayer 04 Leverkusen,17,10,4,3,33,31,17
2015-16,VfL Wolfsburg,17,9,3,5,32,32,17
2015-16,FC Schalke 04,17,8,4,5,29,28,24
2015-16,1. FSV Mainz 05,17,8,5,4,28,23,18
2015-16,FC Ingolstadt 04,17,7,5,5,26,22,18
2015-16,TSG Hoffenheim,17,6,5,6,24,22,25
2015-16,Eintracht Frankfurt,17,6,5,6,24,22,24
2015-16,Hamburger SV,17,5,8,4,19,20,23
2015-16,1. FC Köln,17,5,7,5,20,16,18
2015-16,VfB Stuttgart,17,6,10,1,19,22,32
2015-16,SV Werder Bremen,17,5,7,5,20,27,30
2015-16,FC Augsburg,17,3,8,6,15,18,27
2015-16,Darmstadt 98,17,2,9,6,12,15,29
2015-16,Hannover 96,17,4,13,0,12,15,30
2016-17,FC Bayern München,17,13,0,4,43,55,9
2016-17,Borussia Dortmund,17,13,0,4,43,41,12
2016-17,TSG Hoffenheim,17,11,0,6,39,35,14
2016-17,RB Leipzig,17,12,3,2,38,35,16
2016-17,Hertha BSC,17,12,4,1,37,28,19
2016-17,1. FC Köln,17,9,2,6,33,29,17
2016-17,SC Freiburg,17,10,5,2,32,23,24
2016-17,FC Schalke 04,17,8,4,5,29,29,15
2016-17,Eintracht Frankfurt,17,7,3,7,28,24,18
2016-17,Hamburger SV,17,8,5,4,28,21,25
2016-17,Borussia M'gladbach,17,7,5,5,26,26,18
2016-17,1. FSV Mainz 05,17,7,6,4,25,30,26
2016-17,SV Werder Bremen,17,8,8,1,25,28,24
2016-17,Bayer 04 Leverkusen,17,5,6,6,21,27,28
2016-17,FC Augsburg,17,5,6,6,21,22,25
2016-17,Darmstadt 98,17,6,8,3,21,18,25
2016-17,VfL Wolfsburg,17,5,9,3,18,15,25
2016-17,FC Ingolstadt 04,17,4,8,5,17,21,30
2017-18,FC Bayern München,17,14,1,2,44,56,15
2017-18,TSG Hoffenheim,17,11,2,4,37,38,16
2017-18,FC Schalke 04,17,10,2,5,35,27,15
2017-18,VfB Stuttgart,17,10,3,4,34,18,9
2017-18,Borussia Dortmund,17,9,4,4,31,40,21
2017-18,RB Leipzig,17,9,4,4,31,34,26
2017-18,Borussia M'gladbach,17,9,4,4,31,28,20
2017-18,Bayer 04 Leverkusen,17,8,4,5,29,29,19
2017-18,Eintracht Frankfurt,17,8,5,4,28,26,19
2017-18,Hannover 96,17,8,6,3,27,28,25
2017-18,SC Freiburg,17,7,4,6,27,17,17
2017-18,SV Werder Bremen,17,6,4,7,25,20,17
2017-18,1. FSV Mainz 05,17,7,7,3,24,22,21
2017-18,FC Augsburg,17,6,7,4,22,24,24
2017-18,Hamburger SV,17,6,7,4,22,17,19
2017-18,Hertha BSC,17,5,5,7,22,23,27
2017-18,VfL Wolfsburg,17,3,6,8,17,23,25
2017-18,1. FC Köln,17,3,9,5,14,20,30
2018-19,Borussia Dortmund,17,14,1,2,44,52,25
2018-19,FC Bayern München,17,13,1,3,42,49,14
2018-19,RB Leipzig,17,10,1,6,36,34,9
2018-19,SV Werder Bremen,17,8,3,6,30,35,26
2018-19,Borussia M'gladbach,17,9,5,3,30,31,22
2018-19,VfL Wolfsburg,17,8,4,5,29,36,23
2018-19,1. FSV Mainz 05,17,8,4,5,29,31,22
2018-19,Bayer 04 Leverkusen,17,9,6,2,29,32,25
2018-19,Eintracht Frankfurt,17,8,5,4,28,32,21
2018-19,Fortuna Düsseldorf,17,9,8,0,27,27,28
2018-19,TSG Hoffenheim,17,7,5,5,26,28,20
2018-19,SC Freiburg,17,6,4,7,25,32,27
2018-19,Hertha BSC,17,6,5,6,24,26,27
2018-19,VfB Stuttgart,17,6,7,4,22,22,27
2018-19,FC Augsburg,17,5,8,4,19,34,33
2018-19,1. FC Nürnberg,17,3,7,7,16,16,22
2018-19,Hannover 96,17,5,11,1,16,15,26
2018-19,FC Schalke 04,17,4,10,3,15,16,28
2019-20,FC Bayern München,17,13,2,2,41,53,15
2019-20,Borussia M'gladbach,17,12,3,2,38,40,21
2019-20,Borussia Dortmund,17,11,3,3,36,46,17
2019-20,Bayer 04 Leverkusen,17,9,4,4,31,32,22
2019-20,RB Leipzig,17,7,2,8,29,38,21
2019-20,SC Freiburg,17,9,6,2,29,23,17
2019-20,Eintracht Frankfurt,17,8,5,4,28,36,27
2019-20,1. FC Union Berlin,17,8,6,3,27,24,20
2019-20,1. FC Köln,17,6,7,4,22,28,27
2019-20,FC Schalke 04,17,5,5,7,22,20,27
2019-20,TSG Hoffenheim,17,7,9,1,22,26,37
2019-20,Hertha BSC,17,6,8,3,21,23,32
2019-20,FC Augsburg,17,5,7,5,20,28,29
2019-20,VfL Wolfsburg,17,4,6,7,19,19,23
2019-20,Fortuna Düsseldorf,17,4,7,6,18,18,28
2019-20,1. FSV Mainz 05,17,5,10,2,17,18,29
2019-20,SV Werder Bremen,17,2,12,3,9,15,36
2019-20,SC Paderborn 07,17,2,13,2,8,21,46
2020-21,FC Bayern München,17,13,0,4,43,64,21
2020-21,Eintracht Frankfurt,17,10,0,7,37,37,20
2020-21,RB Leipzig,17,11,2,4,37,29,13
2020-21,Borussia Dortmund,17,11,4,2,35,40,20
2020-21,VfL Wolfsburg,17,10,3,4,34,32,16
2020-21,1. FC Union Berlin,17,8,1,8,32,32,18
2020-21,Bayer 04 Leverkusen,17,8,4,5,29,34,22
