Season,Team,Matches,Wins,Loses,Draws,Points,GF,GA
2015-16,Ajax,17,13,1,3,42,49,12
2015-16,PSV Eindhoven,17,13,1,3,42,41,16
2015-16,Feyenoord,17,11,3,3,36,33,14
2015-16,NEC Nijmegen,17,11,4,2,35,25,17
2015-16,FC Groningen,17,10,4,3,33,25,19
2015-16,AZ Alkmaar,17,10,5,2,32,38,24
2015-16,PEC Zwolle,17,10,5,2,32,35,27
2015-16,Heracles Almelo,17,9,3,5,32,28,23
2015-16,FC Utrecht,17,9,4,4,31,30,24
2015-16,FC Twente,17,9,5,3,30,31,25
2015-16,Vitesse,17,7,6,4,25,30,18
2015-16,SC Heerenveen,17,6,7,4,22,24,29
2015-16,ADO Den Haag,17,4,5,8,20,20,22
2015-16,Excelsior,17,4,8,5,17,21,31
2015-16,De Graafschap,17,3,8,6,15,23,29
2015-16,Willem II Tilburg,17,3,8,6,15,19,26
2015-16,Roda JC Kerkrade,17,3,8,6,15,15,25
2015-16,SC Cambuur,17,2,10,5,11,12,32
2016-17,Feyenoord,17,15,0,2,47,56,11
2016-17,Ajax,17,14,1,2,44,48,12
2016-17,PSV Eindhoven,17,13,1,3,42,35,9
2016-17,FC Utrecht,17,10,4,3,33,28,17
2016-17,Vitesse,17,9,6,2,29,31,21
2016-17,SC Heerenveen,17,8,4,5,29,26,16
2016-17,FC Twente,17,8,5,4,28,28,22
2016-17,Heracles Almelo,17,8,6,3,27,32,21
2016-17,AZ Alkmaar,17,5,3,9,24,31,25
2016-17,ADO Den Haag,17,7,7,3,24,22,21
2016-17,Excelsior,17,6,6,5,23,27,25
2016-17,FC Groningen,17,5,4,8,23,25,24
2016-17,Roda JC Kerkrade,17,6,6,5,23,17,18
2016-17,Sparta Rotterdam,17,6,7,4,22,24,24
2016-17,NEC Nijmegen,17,6,7,4,22,21,26
2016-17,Willem II Tilburg,17,5,7,5,20,17,22
2016-17,PEC Zwolle,17,5,7,5,20,19,28
2016-17,Go Ahead Eagles,17,4,12,1,13,20,35
2017-18,PSV Eindhoven,17,15,0,2,47,44,9
2017-18,Ajax,17,14,2,1,43,45,12
2017-18,Feyenoord,17,11,3,3,36,37,17
2017-18,AZ Alkmaar,17,11,4,2,35,40,23
2017-18,FC Utrecht,17,9,1,7,34,32,21
2017-18,Heracles Almelo,17,9,4,4,31,29,25
2017-18,FC Groningen,17,7,3,7,28,32,21
2017-18,PEC Zwolle,17,8,5,4,28,27,20
2017-18,Vitesse,17,7,4,6,27,35,20
2017-18,ADO Den Haag,17,7,6,4,25,26,27
2017-18,SC Heerenveen,17,6,6,5,23,21,24
2017-18,Willem II Tilburg,17,6,7,4,22,31,29
2017-18,NAC Breda,17,7,9,1,22,26,31
2017-18,Sparta Rotterdam,17,6,9,2,20,21,36
2017-18,FC Twente,17,4,7,6,18,25,31
2017-18,Roda JC Kerkrade,17,4,9,4,16,21,34
2017-18,VVV-Venlo,17,3,8,6,15,19,29
2017-18,Excelsior,17,3,9,5,14,16,24
2018-19,PSV Eindhoven,17,16,0,1,49,58,7
2018-19,Ajax,17,15,0,2,47,70,13
2018-19,Feyenoord,17,14,3,0,42,43,16
2018-19,Vitesse,17,10,1,6,36,45,25
2018-19,AZ Alkmaar,17,11,3,3,36,35,15
2018-19,Heracles Almelo,17,11,6,0,33,42,32
