Season,Team,Matches,Wins,Loses,Draws,Points,GF,GA
2015-16,Barcelona,19,16,2,1,49,67,14
2015-16,Real Madrid,19,16,2,1,49,70,16
2015-16,Atlético Madrid,19,15,1,3,48,33,7
2015-16,Sevilla,19,14,4,1,43,38,21
2015-16,Villarreal,19,12,3,4,40,26,12
2015-16,Athletic Club,19,11,4,4,37,35,17
2015-16,Celta Vigo,19,9,4,6,33,29,25
2015-16,Espanyol,19,9,5,5,32,22,28
2015-16,Málaga,19,8,5,6,30,26,15
2015-16,Eibar,19,8,6,5,29,26,22
2015-16,Las Palmas,19,8,6,5,29,25,17
2015-16,Rayo Vallecano,19,8,7,4,28,29,29
2015-16,Real Sociedad,19,7,7,5,26,22,20
2015-16,Levante UD,19,7,7,5,26,23,26
2015-16,Getafe,19,6,6,7,25,23,20
2015-16,Valencia,19,6,6,7,25,25,23
2015-16,Sporting Gijón,19,7,8,4,25,28,28
2015-16,Real Betis,19,6,7,6,24,17,23
2015-16,Granada,19,6,8,5,23,26,31
2015-16,Deportivo La Coruña,19,4,7,8,20,25,34
2016-17,Barcelona,19,15,1,3,48,64,17
2016-17,Real Madrid,19,14,1,4,46,48,20
2016-17,Sevilla,19,14,1,4,46,39,16
2016-17,Atlético Madrid,19,14,3,2,44,40,14
2016-17,Athletic Club,19,13,2,4,43,36,18
2016-17,Villarreal,19,11,4,4,37,35,18
2016-17,Real Sociedad,19,10,4,5,35,30,24
2016-17,Eibar,19,10,6,3,33,29,21
2016-17,Las Palmas,19,9,4,6,33,33,25
2016-17,Málaga,19,10,7,2,32,32,25
2016-17,Celta Vigo,19,9,8,2,29,30,32
2016-17,Deportivo Alavés,19,7,4,8,29,19,21
2016-17,Espanyol,19,8,6,5,29,28,24
2016-17,Valencia,19,8,7,4,28,32,32
2016-17,Deportivo La Coruña,19,7,7,5,26,27,23
2016-17,Real Betis,19,6,6,7,25,22,24
2016-17,Leganés,19,5,8,6,21,22,23
2016-17,Sporting Gijón,19,5,10,4,19,26,38
2016-17,Granada,19,4,11,4,16,17,32
2016-17,Osasuna,19,2,10,7,13,23,39
2017-18,Barcelona,19,16,0,3,51,53,11
2017-18,Atlético Madrid,19,12,1,6,42,30,8
2017-18,Real Madrid,19,12,3,4,40,54,20
2017-18,Valencia,19,13,3,3,42,36,16
2017-18,Villarreal,19,11,5,3,36,35,22
2017-18,Real Betis,19,10,5,4,34,35,31
2017-18,Sevilla,19,11,3,5,38,31,22
2017-18,Getafe,19,9,6,4,31,26,13
2017-18,Eibar,19,8,7,4,28,26,19
2017-18,Girona FC,19,8,8,3,27,26,22
2017-18,Espanyol,19,8,5,6,30,20,16
2017-18,Real Sociedad,19,10,6,3,33,47,29
2017-18,Celta Vigo,19,8,3,8,32,34,23
2017-18,Deportivo Alavés,19,9,9,1,28,21,23
2017-18,Levante UD,19,7,6,6,27,25,28
2017-18,Athletic Club,19,6,5,8,26,19,16
2017-18,Leganés,19,9,6,4,31,19,19
2017-18,Deportivo La Coruña,19,4,9,6,18,22,33
2017-18,Las Palmas,19,4,13,2,14,15,38
2017-18,Málaga,19,4,12,3,15,14,27
2018-19,Barcelona,19,15,1,3,48,51,17
2018-19,Atlético Madrid,19,15,1,3,48,32,10
2018-19,Real Madrid,19,13,5,1,40,32,15
2018-19,Sevilla,19,12,4,3,39,39,20
2018-19,Getafe,19,11,5,3,36,28,13
2018-19,Espanyol,19,11,5,3,36,28,22
2018-19,Athletic Club,19,9,2,8,35,26,19
2018-19,Eibar,19,9,4,6,33,31,21
2018-19,Valencia,19,7,2,10,31,24,12
2018-19,Leganés,19,7,4,8,29,19,16
2018-19,Real Betis,19,8,6,5,29,25,26
2018-19,Deportivo Alavés,19,7,4,8,29,19,19
2018-19,Celta Vigo,19,8,6,5,29,31,25
2018-19,Real Sociedad,19,7,6,6,27,23,20
2018-19,Levante UD,19,6,6,7,25,34,34
2018-19,Villarreal,19,5,6,8,23,28,26
2018-19,Rayo Vallecano,19,5,8,6,21,25,32
2018-19,Huesca,19,5,8,6,21,24,30
2018-19,Real Valladolid,19,5,9,5,20,16,26
2018-19,Girona FC,19,3,10,6,15,17,28
2019-20,Barcelona,19,16,1,2,50,52,16
2019-20,Real Madrid,19,15,0,4,49,40,11
2019-20,Atlético Madrid,19,12,1,6,42,28,11
2019-20,Valencia,19,11,1,7,40,29,16
2019-20,Sevilla,19,10,2,7,37,26,14
2019-20,Granada,19,10,6,3,33,26,16
2019-20,Villarreal,19,9,5,5,32,37,25
2019-20,Levante UD,19,9,5,5,32,27,19
2019-20,Real Betis,19,9,6,4,31,34,27
2019-20,Real Sociedad,19,9,6,4,31,33,20
2019-20,Athletic Club,19,9,6,4,31,21,14
2019-20,Getafe,19,8,5,6,30,25,20
2019-20,Osasuna,19,7,5,7,28,26,29
2019-20,Deportivo Alavés,19,7,6,6,27,20,19
2019-20,Mallorca,19,8,8,3,27,25,22
2019-20,Eibar,19,8,8,3,27,25,25
2019-20,Real Valladolid,19,5,4,10,25,18,15
2019-20,Celta Vigo,19,5,6,8,23,22,20
2019-20,Leganés,19,5,9,5,20,17,26
2019-20,Espanyol,19,2,11,6,12,15,31
2020-21,Atlético Madrid,19,15,1,3,48,41,11
2020-21,Sevilla,19,14,4,1,43,27,11
2020-21,Real Madrid,19,13,3,3,42,33,13
2020-21,Barcelona,19,11,3,5,38,44,20
2020-21,Real Betis,19,10,4,5,35,27,21
2020-21,Real Sociedad,19,9,4,6,33,34,21
2020-21,Valencia,19,8,4,7,31,34,23
2020-21,Granada,19,9,6,4,31,25,25
2020-21,Athletic Club,19,8,5,6,30,29,19
2020-21,Villarreal,19,8,5,6,30,29,23
2020-21,Celta Vigo,19,9,7,3,30,30,30
2020-21,Osasuna,19,7,7,5,26,21,23
2020-21,Levante UD,19,5,5,9,24,27,30
2020-21,Getafe,19,6,7,6,24,15,13
2020-21,Deportivo Alavés,19,6,7,6,24,21,25
2020-21,Elche,19,5,6,8,23,18,23
2020-21,Huesca,19,5,7,7,22,17,21
2020-21,Cádiz,19,5,9,5,20,17,30
2020-21,Real Valladolid,19,3,9,7,16,19,30
2020-21,Eibar,19,2,10,7,13,12,21
2021-22,Real Madrid,19,13,1,5,44,44,13
2021-22,Sevilla,19,12,1,6,42,36,17
2021-22,Atlético Madrid,19,12,2,5,41,33,16
2021-22,Barcelona,19,12,5,2,38,37,19
2021-22,Villarreal,19,10,3,6,36,40,18
2021-22,Real Sociedad,19,10,4,5,35,16,9
2021-22,Athletic Club,19,10,5,4,34,29,18
2021-22,Espanyol,19,9,4,6,33,25,19
2021-22,Real Betis,19,10,7,2,32,34,22
2021-22,Rayo Vallecano,19,8,6,5,29,26,22
2021-22,Getafe,19,7,5,7,28,21,15
2021-22,Elche,19,7,6,6,27,24,21
2021-22,Mallorca,19,7,6,6,27,20,25
2021-22,Valencia,19,6,5,8,26,26,24
2021-22,Celta Vigo,19,7,8,4,25,26,23
2021-22,Deportivo Alavés,19,7,8,4,25,17,21
2021-22,Osasuna,19,5,7,7,22,17,26
2021-22,Levante UD,19,5,7,7,22,28,30
2021-22,Granada,19,5,7,7,22,22,29
2021-22,Cádiz,19,3,7,9,18,19,24
2022-23,Barcelona,19,15,1,3,48,37,4
2022-23,Real Madrid,19,13,1,5,44,44,16
2022-23,Atlético Madrid,19,13,3,3,42,41,15
2022-23,Villarreal,19,12,4,3,39,36,18
2022-23,Real Sociedad,19,11,3,5,38,26,16
2022-23,Mallorca,19,10,4,5,35,22,12
2022-23,Osasuna,19,11,7,1,34,24,21
2022-23,Girona FC,19,10,6,3,33,35,26
2022-23,Almería,19,10,6,3,33,29,22
2022-23,Real Betis,19,9,5,5,32,26,18
2022-23,Rayo Vallecano,19,9,5,5,32,28,22
2022-23,Valencia,19,8,6,5,29,27,19
2022-23,Real Valladolid,19,8,7,4,28,21,25
2022-23,Athletic Club,19,8,8,3,27,22,15
2022-23,Celta Vigo,19,7,6,6,27,26,21
2022-23,Getafe,19,7,6,6,27,21,20
2022-23,Cádiz,19,7,6,6,27,19,23
2022-23,Sevilla,19,7,7,5,26,24,25
2022-23,Espanyol,19,4,8,7,19,27,35
2022-23,Elche,19,3,10,6,15,18,29
