Season,Team,Matches,Wins,Loses,Draws,Points,GF,GA
2015-16,Paris Saint-Germain,19,15,1,3,48,59,12
2015-16,Olympique Lyonnais,19,12,3,4,40,42,16
2015-16,Nice,19,12,5,2,38,32,16
2015-16,AS Monaco,19,10,3,6,36,30,19
2015-16,Bastia,19,11,6,2,35,23,14
2015-16,Saint-Étienne,19,10,5,4,34,25,15
2015-16,Lille,19,9,4,6,33,21,11
2015-16,Bordeaux,19,8,4,7,31,27,20
2015-16,Caen,19,9,7,3,30,19,23
2015-16,Nantes,19,8,6,5,29,20,20
2015-16,Lorient,19,7,5,7,28,26,21
2015-16,Montpellier,19,9,10,0,27,26,23
2015-16,Stade de Reims,19,7,7,5,26,28,23
2015-16,Angers,19,6,5,8,26,20,15
2015-16,Toulouse,19,6,6,7,25,29,21
2015-16,Guingamp,19,6,6,7,25,31,28
2015-16,Stade Rennais,19,6,6,7,25,25,25
2015-16,GFC Ajaccio,19,5,7,7,22,23,32
2015-16,Olympique de Marseille,19,3,5,11,20,27,24
2015-16,Troyes,19,1,11,7,10,13,36
2016-17,AS Monaco,19,17,1,1,52,63,13
2016-17,Nice,19,14,1,4,46,39,16
2016-17,Paris Saint-Germain,19,13,0,6,45,42,7
2016-17,Olympique de Marseille,19,13,2,4,43,33,13
2016-17,Guingamp,19,12,4,3,39,28,13
2016-17,Olympique Lyonnais,19,12,6,1,37,46,26
2016-17,Stade Rennais,19,10,3,6,36,26,15
2016-17,Bordeaux,19,9,4,6,33,27,19
2016-17,Toulouse,19,8,5,6,30,28,18
2016-17,Saint-Étienne,19,7,3,9,30,24,18
2016-17,Montpellier,19,8,6,5,29,28,22
2016-17,Angers,19,8,6,5,29,23,17
2016-17,Nantes,19,8,7,4,28,19,24
2016-17,Metz,19,7,5,7,28,27,34
2016-17,Dijon,19,7,6,6,27,27,21
2016-17,Lorient,19,7,8,4,25,25,29
2016-17,Bastia,19,5,5,9,24,17,14
2016-17,Lille,19,7,9,3,24,24,24
2016-17,Nancy,19,7,9,3,24,21,23
2016-17,Caen,19,7,10,2,23,21,37
2017-18,Paris Saint-Germain,19,17,1,1,52,70,15
2017-18,AS Monaco,19,15,1,3,48,47,17
2017-18,Olympique de Marseille,19,12,2,5,41,44,19
2017-18,Olympique Lyonnais,19,12,2,5,41,38,18
2017-18,Dijon,19,11,5,3,36,35,28
2017-18,Nice,19,10,6,3,33,29,23
2017-18,Guingamp,19,8,4,7,31,30,24
2017-18,Saint-Étienne,19,8,4,7,31,32,27
2017-18,Bordeaux,19,9,6,4,31,27,23
2017-18,Amiens SC,19,8,6,5,29,26,19
2017-18,Stade Rennais,19,8,7,4,28,21,22
2017-18,Nantes,19,8,7,4,28,15,17
2017-18,RC Strasbourg,19,7,6,6,27,27,27
2017-18,Toulouse,19,7,7,5,26,23,21
2017-18,Caen,19,7,7,5,26,17,19
2017-18,Montpellier,19,5,5,9,24,20,19
2017-18,Lille,19,6,7,6,24,24,27
2017-18,Troyes,19,7,9,3,24,17,22
2017-18,Angers,19,5,7,7,22,23,28
2017-18,Metz,19,3,12,4,13,16,37
2018-19,Paris Saint-Germain,19,17,0,2,53,63,10
2018-19,Lille,19,13,2,4,43,42,11
2018-19,Saint-Étienne,19,13,4,2,41,34,14
2018-19,Olympique Lyonnais,19,12,3,4,40,38,19
2018-19,Olympique de Marseille,19,11,4,4,37,31,17
2018-19,Nice,19,10,5,4,34,19,14
2018-19,Montpellier,19,8,3,8,32,31,20
2018-19,Nîmes Olympique,19,9,5,5,32,30,20
2018-19,Nantes,19,9,6,4,31,35,24
2018-19,Stade Rennais,19,8,4,7,31,27,18
2018-19,Stade de Reims,19,8,4,7,31,21,18
2018-19,Bordeaux,19,7,6,6,27,24,21
2018-19,RC Strasbourg,19,6,5,8,26,31,25
2018-19,Amiens SC,19,7,7,5,26,20,22
2018-19,Angers,19,5,5,9,24,24,22
2018-19,Dijon,19,6,9,4,22,18,29
2018-19,Toulouse,19,4,6,9,21,20,26
2018-19,AS Monaco,19,4,9,6,18,19,29
2018-19,Caen,19,4,10,5,17,16,27
2018-19,Guingamp,19,3,9,7,16,16,27
2019-20,Paris Saint-Germain,14,12,1,1,37,44,11
2019-20,Olympique de Marseille,14,8,2,4,28,21,14
2019-20,Stade Rennais,14,9,3,2,29,25,14
2019-20,Lille,15,11,2,2,35,24,9
2019-20,Nice,15,8,3,4,28,28,20
2019-20,Stade de Reims,14,5,2,7,22,12,7
2019-20,Olympique Lyonnais,13,5,4,4,19,17,7
2019-20,Montpellier,14,10,2,2,32,26,10
2019-20,AS Monaco,14,8,4,2,26,29,22
2019-20,RC Strasbourg,13,7,3,3,24,22,14
2019-20,Angers,15,8,4,3,27,20,13
2019-20,Bordeaux,13,4,4,5,17,19,12
2019-20,Nantes,14,6,6,2,20,11,11
2019-20,Stade Brestois,14,6,2,6,24,21,11
2019-20,Metz,14,5,5,4,19,18,17
2019-20,Dijon,14,6,2,6,24,20,15
2019-20,Saint-Étienne,14,4,4,6,18,15,18
2019-20,Nîmes Olympique,14,6,6,2,20,17,15
2019-20,Amiens SC,14,3,6,5,14,17,23
2019-20,Toulouse,13,3,10,0,9,11,24
2020-21,AS Monaco,19,12,2,5,41,43,21
2020-21,Paris Saint-Germain,19,13,5,1,40,44,14
2020-21,Lille,19,10,2,7,37,28,11
2020-21,Olympique Lyonnais,19,11,5,3,36,42,23
2020-21,Olympique de Marseille,19,10,4,5,35,32,23
2020-21,Lorient,19,10,7,2,32,31,29
2020-21,Stade Rennais,19,9,6,4,31,26,21
2020-21,Lens,19,7,5,7,28,28,26
2020-21,Stade Brestois,19,8,7,4,28,32,33
2020-21,Montpellier,19,7,8,4,25,34,35
2020-21,Bordeaux,19,7,8,4,25,19,21
2020-21,Nice,19,7,9,3,24,25,30
2020-21,Angers,19,6,10,3,21,20,27
2020-21,Saint-Étienne,19,5,8,6,21,20,29
2020-21,Stade de Reims,19,4,7,8,20,16,21
2020-21,Metz,19,5,9,5,20,19,26
2020-21,RC Strasbourg,19,4,10,5,17,21,29
2020-21,Nantes,19,3,8,8,17,21,29
2020-21,Nîmes Olympique,19,3,11,5,14,22,39
2020-21,Dijon,19,1,12,6,9,8,31
2021-22,Paris Saint-Germain,19,16,0,3,51,49,12
2021-22,Stade Rennais,19,14,4,1,43,50,13
2021-22,AS Monaco,19,12,3,4,40,38,16
2021-22,RC Strasbourg,19,11,3,5,38,36,18
2021-22,Olympique Lyonnais,19,11,3,5,38,42,25
2021-22,Nantes,19,11,4,4,37,33,20
2021-22,Lens,19,9,3,7,34,35,20
2021-22,Nice,19,10,5,4,34,27,21
2021-22,Olympique de Marseille,19,9,5,5,32,33,22
2021-22,Lille,19,7,4,8,29,24,22
2021-22,Montpellier,19,7,7,5,26,27,26
2021-22,Angers,19,8,9,2,26,23,23
2021-22,Stade Brestois,19,7,8,4,25,28,29
2021-22,Lorient,19,6,7,6,24,20,22
2021-22,Troyes,19,5,7,7,22,19,19
2021-22,Stade de Reims,19,5,8,6,21,25,23
2021-22,Clermont Foot,19,4,9,6,18,22,33
2021-22,Saint-Étienne,19,4,9,6,18,24,38
2021-22,Bordeaux,19,3,9,7,16,25,33
2021-22,Metz,19,3,9,7,16,21,31
2022-23,Lens,19,17,1,1,52,41,13
2022-23,Stade Rennais,19,15,4,0,45,43,14
2022-23,Lille,19,13,2,4,43,40,25
2022-23,Paris Saint-Germain,19,13,4,2,41,45,25
2022-23,Olympique Lyonnais,19,10,4,5,35,35,19
2022-23,Olympique de Marseille,19,10,5,4,34,35,24
2022-23,Lorient,19,9,6,4,31,26,21
2022-23,Stade de Reims,19,8,5,6,30,28,23
2022-23,AS Monaco,19,9,7,3,30,37,33
2022-23,Clermont Foot,19,9,7,3,30,20,28
2022-23,Nice,19,7,5,7,28,24,18
2022-23,Stade Brestois,19,7,7,5,26,24,26
2022-23,Montpellier,19,7,9,3,24,29,29
2022-23,Toulouse,19,6,7,6,24,27,27
2022-23,Nantes,19,5,6,8,23,20,26
2022-23,RC Strasbourg,19,5,7,7,22,25,26
2022-23,Auxerre,19,5,7,7,22,18,28
2022-23,Ajaccio,19,4,12,3,15,10,30
2022-23,Troyes,19,1,7,11,14,19,30
2022-23,Angers,19,3,13,3,12,20,36
